"scenario","set_name","vaccine","gavi_support","activity_type","country_code","country","year","age_first","age_last","age_range_verbatim","target","coverage","gender"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2025,1,100,"default age and gender",42350794,0.561536457085639,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2028,1,100,"default age and gender",45089671,0.561536457085639,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2031,1,100,"default age and gender",47810447,0.561536457085639,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2034,1,100,"default age and gender",50507703,0.561536457085639,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2037,1,100,"default age and gender",53155829,0.561536457085639,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2040,1,100,"default age and gender",55734758,0.561536457085639,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2025,1,100,"default age and gender",37089446,0.0250834782014924,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2028,1,100,"default age and gender",40711007,0.0250834782014924,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2031,1,100,"default age and gender",44608797,0.0250834782014924,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2034,1,100,"default age and gender",48776283,0.0250834782014924,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2037,1,100,"default age and gender",53205542,0.0250834782014924,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2040,1,100,"default age and gender",57887928,0.0250834782014924,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2025,1,100,"default age and gender",13300017,0.056759912400634,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2028,1,100,"default age and gender",14468966,0.056759912400634,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2031,1,100,"default age and gender",15688591,0.056759912400634,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2034,1,100,"default age and gender",16959254,0.056759912400634,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2037,1,100,"default age and gender",18287782,0.056759912400634,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2040,1,100,"default age and gender",19675073,0.056759912400634,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2025,1,100,"default age and gender",13382217,0.0269942286481188,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2028,1,100,"default age and gender",14452587,0.0269942286481188,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2031,1,100,"default age and gender",15575952,0.0269942286481188,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2034,1,100,"default age and gender",16748866,0.0269942286481188,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2037,1,100,"default age and gender",17967994,0.0269942286481188,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2040,1,100,"default age and gender",19228693,0.0269942286481188,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2025,1,100,"default age and gender",23198040,0.0240273421352545,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2028,1,100,"default age and gender",25162330,0.0240273421352545,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2031,1,100,"default age and gender",27238385,0.0240273421352545,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2034,1,100,"default age and gender",29421471,0.0240273421352545,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2037,1,100,"default age and gender",31698268,0.0240273421352545,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2040,1,100,"default age and gender",34056240,0.0240273421352545,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BGD","Bangladesh",2025,1,100,"default age and gender",169693563,0.372607583770451,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BGD","Bangladesh",2028,1,100,"default age and gender",173905261,0.372607583770451,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BGD","Bangladesh",2031,1,100,"default age and gender",177681831,0.372607583770451,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BGD","Bangladesh",2034,1,100,"default age and gender",180994490,0.372607583770451,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BGD","Bangladesh",2037,1,100,"default age and gender",183830787,0.372607583770451,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BGD","Bangladesh",2040,1,100,"default age and gender",186183146,0.372607583770451,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CAF","Central African Republic",2025,1,100,"default age and gender",5166395,0.0131597687827063,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CAF","Central African Republic",2028,1,100,"default age and gender",5516640,0.0131597687827063,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CAF","Central African Republic",2031,1,100,"default age and gender",5888116,0.0131597687827063,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CAF","Central African Republic",2034,1,100,"default age and gender",6267075,0.0131597687827063,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CAF","Central African Republic",2037,1,100,"default age and gender",6646435,0.0131597687827063,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CAF","Central African Republic",2040,1,100,"default age and gender",7021019,0.0131597687827063,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CIV","Cote d'Ivoire",2025,1,100,"default age and gender",28945622,0.049652965302873,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CIV","Cote d'Ivoire",2028,1,100,"default age and gender",31160996,0.049652965302873,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CIV","Cote d'Ivoire",2031,1,100,"default age and gender",33474898,0.049652965302873,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CIV","Cote d'Ivoire",2034,1,100,"default age and gender",35876808,0.049652965302873,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CIV","Cote d'Ivoire",2037,1,100,"default age and gender",38360701,0.049652965302873,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CIV","Cote d'Ivoire",2040,1,100,"default age and gender",40923310,0.049652965302873,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CMR","Cameroon",2025,1,100,"default age and gender",29111584,0.332910406559486,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CMR","Cameroon",2028,1,100,"default age and gender",31284927,0.332910406559486,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CMR","Cameroon",2031,1,100,"default age and gender",33544864,0.332910406559486,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CMR","Cameroon",2034,1,100,"default age and gender",35884593,0.332910406559486,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CMR","Cameroon",2037,1,100,"default age and gender",38296005,0.332910406559486,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CMR","Cameroon",2040,1,100,"default age and gender",40771711,0.332910406559486,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COD","Congo, the Democratic Republic of the",2025,1,100,"default age and gender",100447606,0.298517139646002,"both"
