"ISO","confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub"
"AGO","district-estimate","admin1",1e-04,6,9,14,2,3,5
"AGO","district-estimate","admin1",2e-04,2,5,9,1,2,3
"AGO","district-estimate","admin1",0.001,1,2,2,1,1,1
"AGO","district-estimate","admin2",1e-04,21,29,41,7,10,15
"AGO","district-estimate","admin2",2e-04,14,20,28,5,7,10
"AGO","district-estimate","admin2",0.001,2,5,10,1,2,4
"AGO","global-estimate","admin1",1e-04,6,9,13,2,3,5
"AGO","global-estimate","admin1",2e-04,3,5,8,1,2,3
"AGO","global-estimate","admin1",0.001,1,2,2,1,1,1
"AGO","global-estimate","admin2",1e-04,24,31,42,9,11,15
"AGO","global-estimate","admin2",2e-04,16,21,30,6,7,11
"AGO","global-estimate","admin2",0.001,3,5,9,1,2,3
"AGO","no-estimate","admin1",1e-04,8,14,21,3,5,7
"AGO","no-estimate","admin1",2e-04,6,10,13,2,4,5
"AGO","no-estimate","admin1",0.001,1,2,3,1,1,1
"AGO","no-estimate","admin2",1e-04,30,43,58,11,15,21
"AGO","no-estimate","admin2",2e-04,26,31,42,9,11,15
"AGO","no-estimate","admin2",0.001,7,13,19,3,5,7
"BDI","district-estimate","admin1",1e-04,3,6,10,2,4,6
"BDI","district-estimate","admin1",2e-04,1,1,4,1,1,3
"BDI","district-estimate","admin2",1e-04,16,23,29,5,7,9
"BDI","district-estimate","admin2",2e-04,7,14,19,3,5,6
"BDI","district-estimate","admin2",0.001,1,1,3,1,1,1
"BDI","global-estimate","admin1",1e-04,4,6,11,3,4,6
"BDI","global-estimate","admin1",2e-04,1,1,4,1,1,4
"BDI","global-estimate","admin2",1e-04,22,26,33,7,8,10
"BDI","global-estimate","admin2",2e-04,11,16,21,4,5,7
"BDI","global-estimate","admin2",0.001,1,3,3,1,1,1
"BDI","no-estimate","admin1",1e-04,15,17,18,7,7,7
"BDI","no-estimate","admin1",2e-04,5,6,8,4,4,5
"BDI","no-estimate","admin2",1e-04,35,40,46,10,12,14
"BDI","no-estimate","admin2",2e-04,24,27,32,7,8,10
"BDI","no-estimate","admin2",0.001,3,4,7,1,1,3
"BEN","district-estimate","admin1",1e-04,1,2,2,1,1,1
"BEN","district-estimate","admin2",1e-04,3,8,13,1,3,5
"BEN","district-estimate","admin2",2e-04,2,3,6,1,1,3
"BEN","global-estimate","admin2",1e-04,3,8,16,1,3,6
"BEN","global-estimate","admin2",2e-04,2,3,8,1,1,3
"BEN","global-estimate","admin2",0.001,1,2,3,1,1,1
"BEN","no-estimate","admin1",1e-04,1,3,5,1,2,3
"BEN","no-estimate","admin2",1e-04,16,20,26,6,8,11
"BEN","no-estimate","admin2",2e-04,7,8,14,3,3,5
"BEN","no-estimate","admin2",0.001,1,2,4,1,1,2
"BFA","district-estimate","admin2",1e-04,1,2,3,1,1,1
"BFA","global-estimate","admin2",1e-04,2,2,2,1,1,1
"BFA","no-estimate","admin2",1e-04,1,2,3,1,1,1
"BFA","no-estimate","admin2",2e-04,2,2,2,1,1,1
"CAF","district-estimate","admin1",1e-04,2,3,3,1,1,1
"CAF","district-estimate","admin1",2e-04,1,2,3,1,1,1
"CAF","district-estimate","admin2",1e-04,2,3,6,1,1,2
"CAF","district-estimate","admin2",2e-04,2,3,6,1,1,2
"CAF","district-estimate","admin2",0.001,2,2,3,1,1,1
"CAF","global-estimate","admin1",1e-04,2,3,3,1,1,1
"CAF","global-estimate","admin1",2e-04,2,2,3,1,1,1
"CAF","global-estimate","admin2",1e-04,3,3,6,1,1,2
"CAF","global-estimate","admin2",2e-04,2,3,6,1,1,2
"CAF","global-estimate","admin2",0.001,2,2,3,1,1,1
"CAF","no-estimate","admin1",1e-04,1,3,3,1,1,1
"CAF","no-estimate","admin1",2e-04,2,3,3,1,1,1
"CAF","no-estimate","admin1",0.001,2,2,2,1,1,1
"CAF","no-estimate","admin2",1e-04,3,3,6,1,1,2
"CAF","no-estimate","admin2",2e-04,3,3,6,1,1,2
"CAF","no-estimate","admin2",0.001,2,3,3,1,1,1
"CIV","district-estimate","admin1",1e-04,2,3,3,1,1,1
"CIV","district-estimate","admin1",2e-04,2,2,3,1,1,1
"CIV","district-estimate","admin2",1e-04,2,3,6,1,2,2
"CIV","district-estimate","admin2",2e-04,2,2,4,1,1,2
"CIV","global-estimate","admin1",1e-04,2,3,3,1,1,1
"CIV","global-estimate","admin1",2e-04,1,2,2,1,1,1
"CIV","global-estimate","admin2",1e-04,2,4,6,1,2,2
"CIV","global-estimate","admin2",2e-04,1,2,2,1,1,1
"CIV","no-estimate","admin1",1e-04,3,4,5,1,2,2
"CIV","no-estimate","admin1",2e-04,2,3,3,1,1,1
"CIV","no-estimate","admin2",1e-04,6,7,9,2,3,3
"CIV","no-estimate","admin2",2e-04,2,5,5,1,2,2
"CMR","district-estimate","admin1",1e-04,11,16,20,4,6,7
"CMR","district-estimate","admin1",2e-04,6,11,14,2,4,5
"CMR","district-estimate","admin1",0.001,1,2,3,1,1,1
"CMR","district-estimate","admin2",1e-04,34,44,50,12,16,18
"CMR","district-estimate","admin2",2e-04,20,28,34,7,10,13
"CMR","district-estimate","admin2",0.001,2,5,9,1,2,4
"CMR","global-estimate","admin1",1e-04,11,17,21,4,6,7
"CMR","global-estimate","admin1",2e-04,8,11,15,3,4,5
"CMR","global-estimate","admin1",0.001,1,2,2,1,1,1
"CMR","global-estimate","admin2",1e-04,36,46,57,13,17,21
"CMR","global-estimate","admin2",2e-04,21,32,38,8,11,14
"CMR","global-estimate","admin2",0.001,2,6,10,1,3,4
"CMR","no-estimate","admin1",1e-04,17,21,23,6,7,8
"CMR","no-estimate","admin1",2e-04,14,17,20,5,7,7
"CMR","no-estimate","admin1",0.001,2,3,5,1,1,2
"CMR","no-estimate","admin2",1e-04,60,66,72,21,23,26
"CMR","no-estimate","admin2",2e-04,41,47,52,15,17,19
"CMR","no-estimate","admin2",0.001,9,11,17,3,4,6
"COD","district-estimate","admin1",1e-04,21,25,29,7,9,10
"COD","district-estimate","admin1",2e-04,11,16,22,4,6,9
"COD","district-estimate","admin1",0.001,1,2,4,1,1,2
"COD","district-estimate","admin2",1e-04,113,131,145,41,51,58
"COD","district-estimate","admin2",2e-04,66,82,99,25,30,37
"COD","district-estimate","admin2",0.001,11,20,30,4,7,11
"COD","global-estimate","admin1",1e-04,22,26,29,8,9,10
"COD","global-estimate","admin1",2e-04,10,17,24,4,7,9
"COD","global-estimate","admin1",0.001,1,2,3,1,1,1
"COD","global-estimate","admin2",1e-04,111,139,162,41,50,58
"COD","global-estimate","admin2",2e-04,63,90,107,24,34,41
"COD","global-estimate","admin2",0.001,11,23,33,5,9,12
"COD","no-estimate","admin1",1e-04,27,31,36,9,11,13
"COD","no-estimate","admin1",2e-04,24,27,28,8,9,10
"COD","no-estimate","admin1",0.001,2,4,6,1,2,3
"COD","no-estimate","admin2",1e-04,178,187,198,62,65,70
"COD","no-estimate","admin2",2e-04,130,142,152,46,51,56
"COD","no-estimate","admin2",0.001,33,41,54,12,15,19
"COG","district-estimate","admin1",1e-04,6,9,9,2,3,3
"COG","district-estimate","admin1",2e-04,3,6,9,1,2,3
"COG","district-estimate","admin1",0.001,1,2,2,1,1,1
"COG","district-estimate","admin2",1e-04,8,12,15,3,4,5
"COG","district-estimate","admin2",2e-04,5,9,15,2,3,5
"COG","district-estimate","admin2",0.001,2,3,5,1,1,2
"COG","global-estimate","admin1",1e-04,7,9,9,3,3,3
"COG","global-estimate","admin1",2e-04,1,7,9,1,3,3
"COG","global-estimate","admin1",0.001,2,2,2,1,1,1
"COG","global-estimate","admin2",1e-04,10,12,15,4,4,5
"COG","global-estimate","admin2",2e-04,4,11,15,2,4,5
"COG","global-estimate","admin2",0.001,2,3,6,1,1,2
"COG","no-estimate","admin1",1e-04,9,9,9,3,3,3
"COG","no-estimate","admin1",2e-04,9,9,9,3,3,3
"COG","no-estimate","admin1",0.001,2,3,3,1,1,1
"COG","no-estimate","admin2",1e-04,12,15,15,4,5,5
"COG","no-estimate","admin2",2e-04,12,12,15,4,4,5
"COG","no-estimate","admin2",0.001,3,3,8,1,1,3
"ETH","district-estimate","admin1",1e-04,2,3,5,1,1,2
"ETH","district-estimate","admin1",2e-04,1,2,3,1,1,1
"ETH","district-estimate","admin2",1e-04,6,14,20,2,5,8
"ETH","district-estimate","admin2",2e-04,3,7,12,1,3,4
"ETH","district-estimate","admin2",0.001,1,2,3,1,1,2
"ETH","global-estimate","admin1",1e-04,2,3,3,1,1,1
"ETH","global-estimate","admin1",2e-04,1,2,3,1,1,1
"ETH","global-estimate","admin2",1e-04,7,14,22,3,5,8
"ETH","global-estimate","admin2",2e-04,3,8,12,1,3,4
"ETH","global-estimate","admin2",0.001,1,2,3,1,1,1
"ETH","no-estimate","admin1",1e-04,3,5,8,1,2,3
"ETH","no-estimate","admin1",2e-04,2,3,3,1,1,1
"ETH","no-estimate","admin2",1e-04,20,25,35,7,9,13
"ETH","no-estimate","admin2",2e-04,10,15,21,4,5,8
"ETH","no-estimate","admin2",0.001,1,3,4,1,1,2
"GHA","district-estimate","admin1",1e-04,11,14,17,4,5,6
"GHA","district-estimate","admin1",2e-04,4,7,9,2,3,3
"GHA","district-estimate","admin2",1e-04,76,89,101,28,32,37
"GHA","district-estimate","admin2",2e-04,39,53,64,15,20,25
"GHA","district-estimate","admin2",0.001,6,11,16,2,4,6
"GHA","global-estimate","admin1",1e-04,8,14,17,3,6,6
"GHA","global-estimate","admin1",2e-04,5,7,10,2,3,4
"GHA","global-estimate","admin1",0.001,2,2,2,1,1,1
"GHA","global-estimate","admin2",1e-04,81,101,115,30,37,41
"GHA","global-estimate","admin2",2e-04,33,55,76,12,23,29
"GHA","global-estimate","admin2",0.001,8,12,17,3,4,6
"GHA","no-estimate","admin1",1e-04,19,20,21,7,7,7
"GHA","no-estimate","admin1",2e-04,12,14,17,5,6,6
"GHA","no-estimate","admin1",0.001,1,2,5,1,1,2
"GHA","no-estimate","admin2",1e-04,135,140,147,47,50,52
"GHA","no-estimate","admin2",2e-04,96,103,110,34,37,40
"GHA","no-estimate","admin2",0.001,20,22,27,8,8,10
"GIN","district-estimate","admin1",1e-04,3,6,9,1,2,3
"GIN","district-estimate","admin1",2e-04,2,3,6,1,1,2
"GIN","district-estimate","admin2",1e-04,9,15,19,4,5,7
"GIN","district-estimate","admin2",2e-04,5,10,17,2,4,6
"GIN","global-estimate","admin1",1e-04,3,6,9,1,2,3
"GIN","global-estimate","admin1",2e-04,2,4,6,1,2,2
"GIN","global-estimate","admin2",1e-04,10,17,20,4,6,7
"GIN","global-estimate","admin2",2e-04,2,12,18,2,5,6
"GIN","global-estimate","admin2",0.001,1,2,3,1,1,1
"GIN","no-estimate","admin1",1e-04,8,9,10,3,3,4
"GIN","no-estimate","admin1",2e-04,5,6,8,2,2,3
"GIN","no-estimate","admin2",1e-04,18,22,26,6,8,9
"GIN","no-estimate","admin2",2e-04,15,17,19,5,6,7
"GIN","no-estimate","admin2",0.001,1,2,3,1,1,1
"GNB","district-estimate","admin1",1e-04,6,11,14,2,4,6
"GNB","district-estimate","admin1",2e-04,3,8,10,1,3,4
"GNB","district-estimate","admin1",0.001,2,3,3,1,1,1
"GNB","district-estimate","admin2",1e-04,18,24,32,6,9,11
"GNB","district-estimate","admin2",2e-04,9,15,23,3,6,8
"GNB","district-estimate","admin2",0.001,3,5,8,1,2,3
"GNB","global-estimate","admin1",1e-04,9,10,16,3,4,6
"GNB","global-estimate","admin1",2e-04,5,8,9,2,3,3
"GNB","global-estimate","admin1",0.001,2,3,3,1,1,1
"GNB","global-estimate","admin2",1e-04,18,26,36,7,9,13
"GNB","global-estimate","admin2",2e-04,6,17,27,2,7,10
"GNB","global-estimate","admin2",0.001,3,6,9,1,2,3
"GNB","no-estimate","admin1",1e-04,15,18,20,6,6,7
"GNB","no-estimate","admin1",2e-04,9,10,14,3,4,5
"GNB","no-estimate","admin1",0.001,3,4,6,1,2,2
"GNB","no-estimate","admin2",1e-04,30,36,44,11,13,16
"GNB","no-estimate","admin2",2e-04,22,27,35,8,10,12
"GNB","no-estimate","admin2",0.001,6,6,11,2,2,4
"KEN","district-estimate","admin1",1e-04,18,26,33,7,10,12
"KEN","district-estimate","admin1",2e-04,6,14,21,3,6,8
"KEN","district-estimate","admin1",0.001,1,2,4,1,1,2
"KEN","district-estimate","admin2",1e-04,81,95,109,30,36,43
"KEN","district-estimate","admin2",2e-04,45,57,69,17,21,26
"KEN","district-estimate","admin2",0.001,4,12,20,2,5,8
"KEN","global-estimate","admin1",1e-04,18,27,35,8,10,13
"KEN","global-estimate","admin1",2e-04,9,16,23,4,6,9
"KEN","global-estimate","admin1",0.001,1,2,5,1,1,2
"KEN","global-estimate","admin2",1e-04,76,102,135,29,38,51
"KEN","global-estimate","admin2",2e-04,47,64,84,17,24,30
"KEN","global-estimate","admin2",0.001,7,14,23,3,6,9
"KEN","no-estimate","admin1",1e-04,39,44,48,15,16,18
"KEN","no-estimate","admin1",2e-04,22,29,34,8,11,12
"KEN","no-estimate","admin1",0.001,2,5,8,1,2,3
"KEN","no-estimate","admin2",1e-04,162,177,193,58,65,72
"KEN","no-estimate","admin2",2e-04,94,106,117,35,40,44
"KEN","no-estimate","admin2",0.001,20,30,38,8,12,15
"LBR","district-estimate","admin1",1e-04,3,3,9,1,1,3
"LBR","district-estimate","admin1",2e-04,2,3,6,1,1,2
"LBR","district-estimate","admin1",0.001,2,2,3,1,1,1
"LBR","district-estimate","admin2",1e-04,4,9,19,2,3,7
"LBR","district-estimate","admin2",2e-04,3,6,14,1,2,5
"LBR","district-estimate","admin2",0.001,1,3,6,1,1,2
"LBR","global-estimate","admin1",1e-04,3,3,9,1,1,3
"LBR","global-estimate","admin1",2e-04,2,3,6,1,1,2
"LBR","global-estimate","admin1",0.001,1,2,3,1,1,1
"LBR","global-estimate","admin2",1e-04,5,10,21,2,4,7
"LBR","global-estimate","admin2",2e-04,3,6,16,1,2,6
"LBR","global-estimate","admin2",0.001,1,3,6,1,1,3
"LBR","no-estimate","admin1",1e-04,3,6,12,1,2,5
"LBR","no-estimate","admin1",2e-04,3,3,9,1,1,3
"LBR","no-estimate","admin1",0.001,1,3,3,1,1,1
"LBR","no-estimate","admin2",1e-04,6,14,28,2,5,10
"LBR","no-estimate","admin2",2e-04,6,11,20,2,4,7
"LBR","no-estimate","admin2",0.001,2,6,9,1,2,3
"MDG","district-estimate","admin2",1e-04,2,2,3,1,1,1
"MDG","global-estimate","admin2",1e-04,2,2,2,1,1,1
"MDG","no-estimate","admin2",1e-04,1,2,3,1,1,1
"MLI","district-estimate","admin1",1e-04,1,2,5,1,1,2
"MLI","district-estimate","admin1",2e-04,1,1,1,1,1,1
"MLI","district-estimate","admin2",1e-04,5,13,19,2,5,7
"MLI","district-estimate","admin2",2e-04,1,4,8,1,2,3
"MLI","global-estimate","admin1",1e-04,1,2,5,1,1,2
"MLI","global-estimate","admin1",2e-04,2,2,3,1,1,1
"MLI","global-estimate","admin2",1e-04,6,14,20,3,6,8
"MLI","global-estimate","admin2",2e-04,1,2,6,1,1,3
"MLI","no-estimate","admin1",1e-04,5,6,8,2,2,3
"MLI","no-estimate","admin1",2e-04,1,2,5,1,1,2
"MLI","no-estimate","admin2",1e-04,26,29,32,10,10,11
"MLI","no-estimate","admin2",2e-04,11,14,18,4,6,7
"MOZ","district-estimate","admin1",1e-04,2,5,11,1,2,4
"MOZ","district-estimate","admin1",2e-04,1,3,6,1,1,2
"MOZ","district-estimate","admin2",1e-04,15,23,33,5,8,12
"MOZ","district-estimate","admin2",2e-04,9,17,27,3,6,9
"MOZ","district-estimate","admin2",0.001,1,5,12,1,2,5
"MOZ","global-estimate","admin1",1e-04,2,5,13,1,2,5
"MOZ","global-estimate","admin1",2e-04,1,2,5,1,1,2
"MOZ","global-estimate","admin2",1e-04,15,24,35,5,8,12
"MOZ","global-estimate","admin2",2e-04,12,18,29,4,7,10
"MOZ","global-estimate","admin2",0.001,1,6,12,1,2,4
"MOZ","no-estimate","admin1",1e-04,8,12,15,3,5,5
"MOZ","no-estimate","admin1",2e-04,3,5,10,2,2,4
"MOZ","no-estimate","admin1",0.001,2,2,3,1,1,1
"MOZ","no-estimate","admin2",1e-04,25,35,45,9,12,16
"MOZ","no-estimate","admin2",2e-04,15,25,34,5,9,12
"MOZ","no-estimate","admin2",0.001,7,11,20,3,4,8
"MRT","district-estimate","admin1",1e-04,1,2,2,1,1,1
"MRT","district-estimate","admin2",1e-04,2,3,5,1,1,2
"MRT","district-estimate","admin2",2e-04,1,3,3,1,1,1
"MRT","global-estimate","admin1",1e-04,2,2,2,1,1,1
"MRT","global-estimate","admin2",1e-04,2,3,5,1,1,2
"MRT","global-estimate","admin2",2e-04,1,3,3,1,1,1
"MRT","no-estimate","admin1",1e-04,1,2,3,1,1,1
"MRT","no-estimate","admin1",2e-04,2,2,2,1,1,1
"MRT","no-estimate","admin2",1e-04,3,3,6,1,1,2
"MRT","no-estimate","admin2",2e-04,3,3,5,1,1,2
"MRT","no-estimate","admin2",0.001,3,3,3,1,1,1
"MWI","district-estimate","admin1",1e-04,1,4,8,1,2,3
"MWI","district-estimate","admin1",2e-04,1,2,3,1,1,1
"MWI","district-estimate","admin2",1e-04,21,33,51,8,13,19
"MWI","district-estimate","admin2",2e-04,6,16,29,3,6,11
"MWI","district-estimate","admin2",0.001,1,2,5,1,1,2
"MWI","global-estimate","admin1",1e-04,2,4,9,1,2,4
"MWI","global-estimate","admin1",2e-04,1,2,3,1,1,1
"MWI","global-estimate","admin2",1e-04,24,38,62,9,14,24
"MWI","global-estimate","admin2",2e-04,8,19,34,3,7,13
"MWI","global-estimate","admin2",0.001,1,3,6,1,1,2
"MWI","no-estimate","admin1",1e-04,10,13,16,4,5,6
"MWI","no-estimate","admin1",2e-04,2,4,8,1,2,4
"MWI","no-estimate","admin2",1e-04,51,70,99,19,25,35
"MWI","no-estimate","admin2",2e-04,27,40,62,10,14,23
"MWI","no-estimate","admin2",0.001,1,5,12,1,2,5
"NAM","district-estimate","admin1",1e-04,2,6,6,1,2,2
"NAM","district-estimate","admin1",2e-04,1,4,6,1,2,2
"NAM","district-estimate","admin1",0.001,2,3,3,1,1,1
"NAM","district-estimate","admin2",1e-04,13,24,31,5,9,11
"NAM","district-estimate","admin2",2e-04,3,16,24,2,7,10
"NAM","district-estimate","admin2",0.001,2,3,5,1,1,2
"NAM","global-estimate","admin1",1e-04,1,6,6,1,2,2
"NAM","global-estimate","admin1",2e-04,1,4,6,1,2,2
"NAM","global-estimate","admin1",0.001,2,3,5,1,1,2
"NAM","global-estimate","admin2",1e-04,14,25,33,5,9,12
"NAM","global-estimate","admin2",2e-04,3,18,27,1,8,10
"NAM","global-estimate","admin2",0.001,2,3,6,1,1,2
"NAM","no-estimate","admin1",1e-04,3,6,6,1,2,2
"NAM","no-estimate","admin1",2e-04,1,6,6,1,2,2
"NAM","no-estimate","admin1",0.001,2,3,6,1,1,2
"NAM","no-estimate","admin2",1e-04,18,28,36,6,10,12
"NAM","no-estimate","admin2",2e-04,15,25,32,5,10,12
"NAM","no-estimate","admin2",0.001,3,6,12,1,2,4
"NER","district-estimate","admin1",1e-04,1,3,6,1,1,2
"NER","district-estimate","admin1",2e-04,1,2,2,1,1,1
"NER","district-estimate","admin2",1e-04,5,9,14,2,3,5
"NER","district-estimate","admin2",2e-04,2,5,8,1,2,3
"NER","district-estimate","admin2",0.001,1,2,2,1,1,1
"NER","global-estimate","admin1",1e-04,1,3,6,1,1,3
"NER","global-estimate","admin1",2e-04,1,2,3,1,1,1
"NER","global-estimate","admin2",1e-04,5,10,15,2,4,5
"NER","global-estimate","admin2",2e-04,3,5,8,1,2,3
"NER","global-estimate","admin2",0.001,1,2,2,1,1,1
"NER","no-estimate","admin1",1e-04,4,5,9,2,2,3
"NER","no-estimate","admin1",2e-04,1,3,5,1,1,2
"NER","no-estimate","admin2",1e-04,14,15,19,5,6,7
"NER","no-estimate","admin2",2e-04,8,10,14,3,4,5
"NER","no-estimate","admin2",0.001,2,2,3,1,1,1
"NGA","district-estimate","admin1",1e-04,6,12,19,2,5,8
"NGA","district-estimate","admin1",2e-04,2,3,7,1,1,3
"NGA","district-estimate","admin1",0.001,1,1,2,1,1,1
"NGA","district-estimate","admin2",1e-04,110,142,173,40,52,64
"NGA","district-estimate","admin2",2e-04,62,84,111,24,32,42
"NGA","district-estimate","admin2",0.001,5,16,26,2,6,10
"NGA","global-estimate","admin1",1e-04,6,12,21,2,5,9
"NGA","global-estimate","admin1",2e-04,3,3,8,1,1,3
"NGA","global-estimate","admin1",0.001,2,2,2,1,1,1
"NGA","global-estimate","admin2",1e-04,115,159,200,42,59,74
"NGA","global-estimate","admin2",2e-04,68,95,124,26,35,46
"NGA","global-estimate","admin2",0.001,3,16,30,1,6,12
"NGA","no-estimate","admin1",1e-04,29,34,39,12,13,15
"NGA","no-estimate","admin1",2e-04,8,12,18,3,5,8
"NGA","no-estimate","admin1",0.001,1,2,3,1,1,1
"NGA","no-estimate","admin2",1e-04,186,244,290,67,88,105
"NGA","no-estimate","admin2",2e-04,122,159,191,44,58,70
"NGA","no-estimate","admin2",0.001,24,38,55,9,15,21
"RWA","district-estimate","admin2",1e-04,2,2,5,1,1,2
"RWA","district-estimate","admin2",2e-04,1,2,2,1,1,1
"RWA","global-estimate","admin2",1e-04,1,2,5,1,1,2
"RWA","global-estimate","admin2",2e-04,3,3,3,1,1,1
"RWA","no-estimate","admin2",1e-04,5,5,6,2,2,2
"RWA","no-estimate","admin2",2e-04,1,2,4,1,1,2
"RWA","no-estimate","admin2",0.001,2,2,3,1,1,1
"SLE","district-estimate","admin1",1e-04,9,11,12,3,4,4
"SLE","district-estimate","admin1",2e-04,6,9,11,2,3,4
"SLE","district-estimate","admin1",0.001,1,3,4,1,1,2
"SLE","district-estimate","admin2",1e-04,24,32,35,8,11,12
"SLE","district-estimate","admin2",2e-04,19,27,32,7,9,11
"SLE","district-estimate","admin2",0.001,3,8,13,1,3,5
"SLE","global-estimate","admin1",1e-04,9,11,12,3,4,4
"SLE","global-estimate","admin1",2e-04,8,9,11,3,3,4
"SLE","global-estimate","admin1",0.001,1,3,5,1,1,2
"SLE","global-estimate","admin2",1e-04,31,33,35,11,11,12
"SLE","global-estimate","admin2",2e-04,20,30,33,7,11,11
"SLE","global-estimate","admin2",0.001,4,8,14,2,3,6
"SLE","no-estimate","admin1",1e-04,12,12,12,4,4,4
"SLE","no-estimate","admin1",2e-04,11,12,12,4,4,4
"SLE","no-estimate","admin1",0.001,5,6,7,2,2,3
"SLE","no-estimate","admin2",1e-04,34,37,38,12,13,13
"SLE","no-estimate","admin2",2e-04,33,33,35,11,11,12
"SLE","no-estimate","admin2",0.001,14,18,21,5,7,8
"SOM","district-estimate","admin1",1e-04,32,36,41,11,12,14
"SOM","district-estimate","admin1",2e-04,26,32,35,9,11,12
"SOM","district-estimate","admin1",0.001,3,9,19,1,3,7
"SOM","district-estimate","admin2",1e-04,83,95,106,28,33,36
"SOM","district-estimate","admin2",2e-04,67,80,94,23,27,33
"SOM","district-estimate","admin2",0.001,19,29,43,7,11,17
"SOM","global-estimate","admin1",1e-04,35,38,42,12,13,14
"SOM","global-estimate","admin1",2e-04,29,32,35,10,11,12
"SOM","global-estimate","admin1",0.001,3,9,19,1,3,7
"SOM","global-estimate","admin2",1e-04,91,99,109,31,34,37
"SOM","global-estimate","admin2",2e-04,75,87,99,26,30,34
"SOM","global-estimate","admin2",0.001,21,32,46,8,12,18
"SOM","no-estimate","admin1",1e-04,39,39,42,13,13,14
"SOM","no-estimate","admin1",2e-04,36,38,41,12,13,14
"SOM","no-estimate","admin1",0.001,17,21,26,7,8,9
"SOM","no-estimate","admin2",1e-04,105,109,119,36,37,40
"SOM","no-estimate","admin2",2e-04,93,99,110,31,34,38
"SOM","no-estimate","admin2",0.001,46,54,75,16,19,27
"SSD","district-estimate","admin1",1e-04,6,12,17,2,4,6
"SSD","district-estimate","admin1",2e-04,3,6,10,1,2,4
"SSD","district-estimate","admin1",0.001,1,3,3,1,1,1
"SSD","district-estimate","admin2",1e-04,19,27,32,7,10,11
