"threshold","confirmation_lens","admin_level","ocv_cost_lb","ocv_cost_median","ocv_cost_ub","test_cost_lb","test_cost_median","test_cost_ub","total_cost_lb","total_cost_median","total_cost_ub"
1e-04,"district-estimate","admin1",1609077152.17125,1740788173.65153,1931516964.29824,8264530.05347032,9762112.88216363,11759167.4548241,1617341682.22472,1750550286.53369,1943276131.75306
1e-04,"district-estimate","admin2",1232252229.8137,1296314439.89836,1349089457.88497,7673480.01981167,8883289.97962777,10555493.8957024,1239925709.83351,1305197729.87799,1359644951.78067
1e-04,"global-estimate","admin1",1365849713.30429,1473456124.60213,1583377202.19137,6817057.47814067,7981262.56657953,9548484.21403111,1372666770.78243,1481437387.16871,1592925686.4054
1e-04,"global-estimate","admin2",1058792221.29201,1133945249.0071,1203088189.41645,6260618.29521255,7222864.60303763,8533527.7020759,1065052839.58722,1141168113.61014,1211621717.11853
1e-04,"no-estimate","admin1",2680919411.50106,2909796896.66275,3070807629.76649,0,0,0,2680919411.50106,2909796896.66275,3070807629.76649
1e-04,"no-estimate","admin2",1788027782.64532,1849210235.55918,1945472388.21962,0,0,0,1788027782.64532,1849210235.55918,1945472388.21962
2e-04,"district-estimate","admin1",828764001.088989,938340939.225446,1054959882.83099,9395959.01403027,10973922.2732305,13196393.5322012,838159960.103019,949314861.498677,1068156276.36319
2e-04,"district-estimate","admin2",726247917.110238,779845720.976607,846731635.456158,8474625.41411626,9722391.37948188,11499922.2007468,734722542.524354,789568112.356089,858231557.656905
2e-04,"global-estimate","admin1",589042751.783154,698098886.89231,805964006.946255,7801777.72210839,9288378.84164149,11606872.8254062,596844529.505262,707387265.733952,817570879.771661
2e-04,"global-estimate","admin2",506630456.4183,577734697.42832,671146867.208156,5482758.89909187,7840015.0935168,12345079.4126635,512113215.317392,585574712.521837,683491946.620819
2e-04,"no-estimate","admin1",1611510665.45273,1702413334.56769,1852453553.24524,0,0,0,1611510665.45273,1702413334.56769,1852453553.24524
2e-04,"no-estimate","admin2",1248567463.1677,1299020663.17536,1339997418.14729,0,0,0,1248567463.1677,1299020663.17536,1339997418.14729
0.001,"district-estimate","admin1",39792586.1755086,70521623.4087827,136019934.03925,12225450.7928587,14437774.0186944,17374913.1684051,52018036.9683673,84959397.4274771,153394847.207655
0.001,"district-estimate","admin2",115322696.791498,142136013.078304,178955767.86832,10910203.471329,12494319.9367819,14591250.1498035,126232900.262827,154630333.015086,193547018.018123
0.001,"global-estimate","admin1",32593672.2693957,45962953.6801213,74204554.0171783,9806234.58320193,11618216.1996987,14173435.202506,42399906.8525976,57581169.87982,88377989.2196843
0.001,"global-estimate","admin2",90929216.6886392,107466361.926275,139377157.010618,9039546.70423234,10160660.9674639,11845175.710684,99968763.3928715,117627022.893739,151222332.721302
0.001,"no-estimate","admin1",246613945.839456,305633929.0058,351028355.744496,0,0,0,246613945.839456,305633929.0058,351028355.744496
0.001,"no-estimate","admin2",282140936.198776,307914268.979655,335352857.786287,0,0,0,282140936.198776,307914268.979655,335352857.786287
