"ISO","threshold","confirmation_lens","admin_level","ocv_cost_lb","ocv_cost_median","ocv_cost_ub"
"AGO",1e-04,"district-estimate","admin1",17374552.6053896,29711349.0067445,54501148.0803943
"AGO",1e-04,"global-estimate","admin1",14512103.7952194,25512755.8864255,42268976.9222478
"AGO",1e-04,"no-estimate","admin1",19767221.3654551,59595041.4821646,66402023.7219457
"AGO",2e-04,"district-estimate","admin1",7513812.91950887,15509500.6022205,33935965.4688343
"AGO",2e-04,"global-estimate","admin1",0,11684982.3392904,18051980.0558987
"AGO",2e-04,"no-estimate","admin1",17374552.6053896,29797877.7589177,45588569.0702773
"AGO",0.001,"district-estimate","admin1",0,0,3637937.74988776
"AGO",0.001,"global-estimate","admin1",0,0,0
"AGO",0.001,"no-estimate","admin1",0,3637937.74988776,8165021.35235534
"AGO",1e-04,"district-estimate","admin2",16001336.1246894,24270130.6462151,36054021.9825681
"AGO",1e-04,"global-estimate","admin2",15210275.48082,22297487.9351538,28714752.7336701
"AGO",1e-04,"no-estimate","admin2",22424243.6120208,31244479.5676895,45552153.9278822
"AGO",2e-04,"district-estimate","admin2",8971796.7739994,15604876.2502337,23597142.432123
"AGO",2e-04,"global-estimate","admin2",4441111.69780719,10870514.3058597,18909195.9659349
"AGO",2e-04,"no-estimate","admin2",16107939.7524413,24340204.0821526,31935727.5495332
"AGO",0.001,"district-estimate","admin2",328969.37993155,2061706.06451626,4894511.37276264
"AGO",0.001,"global-estimate","admin2",0,1144951.48239262,3646226.05610061
"AGO",0.001,"no-estimate","admin2",1810863.28280105,7816715.68390993,10817336.3883996
"BDI",1e-04,"district-estimate","admin1",0,6593122.75152953,13934288.7220231
"BDI",1e-04,"global-estimate","admin1",0,4241039.22396902,7178062.14752541
"BDI",1e-04,"no-estimate","admin1",23535803.4980549,26812003.990968,33789967.1970954
"BDI",2e-04,"district-estimate","admin1",0,0,1934750.63581281
"BDI",2e-04,"global-estimate","admin1",0,0,0
"BDI",2e-04,"no-estimate","admin1",3994427.08599513,6931450.00955153,10763417.8512575
"BDI",0.001,"district-estimate","admin1",0,0,0
"BDI",0.001,"global-estimate","admin1",0,0,0
"BDI",0.001,"no-estimate","admin1",0,0,0
"BDI",1e-04,"district-estimate","admin2",7833607.62581574,9845508.58872793,11247075.2899214
"BDI",1e-04,"global-estimate","admin2",7504527.19350244,8668620.54130699,9803400.88678841
"BDI",1e-04,"no-estimate","admin2",12930129.6735007,13888085.3286865,15009827.8466956
"BDI",2e-04,"district-estimate","admin2",2639766.4409794,4835038.22046927,7137087.31289144
"BDI",2e-04,"global-estimate","admin2",792958.126227723,3041903.03355943,5392578.5607697
"BDI",2e-04,"no-estimate","admin2",8512341.74196112,9441637.454821,10460644.3480897
"BDI",0.001,"district-estimate","admin2",0,0,0
"BDI",0.001,"global-estimate","admin2",0,0,0
"BDI",0.001,"no-estimate","admin2",0,0,330552.0172284
"BEN",1e-04,"district-estimate","admin1",0,0,0
"BEN",1e-04,"global-estimate","admin1",0,0,0
"BEN",1e-04,"no-estimate","admin1",0,6881807.25320492,16298317.9004938
"BEN",2e-04,"district-estimate","admin1",0,0,0
"BEN",2e-04,"global-estimate","admin1",0,0,0
"BEN",2e-04,"no-estimate","admin1",0,0,0
"BEN",0.001,"district-estimate","admin1",0,0,0
"BEN",0.001,"global-estimate","admin1",0,0,0
"BEN",0.001,"no-estimate","admin1",0,0,0
"BEN",1e-04,"district-estimate","admin2",1111922.82915009,2342939.62830748,5063529.71557801
"BEN",1e-04,"global-estimate","admin2",767666.264113527,1981946.6593713,2907740.79084724
"BEN",1e-04,"no-estimate","admin2",11197631.9859988,13813101.9391241,16674050.0445997
"BEN",2e-04,"district-estimate","admin2",0,1122430.28290573,1999760.61599227
"BEN",2e-04,"global-estimate","admin2",0,727161.409692611,1679062.20488878
"BEN",2e-04,"no-estimate","admin2",1520320.85315047,2337914.95364964,3568599.03113846
"BEN",0.001,"district-estimate","admin2",0,0,0
"BEN",0.001,"global-estimate","admin2",0,0,0
"BEN",0.001,"no-estimate","admin2",0,0,778219.998525124
"BFA",1e-04,"district-estimate","admin1",0,0,0
"BFA",1e-04,"global-estimate","admin1",0,0,0
"BFA",1e-04,"no-estimate","admin1",0,0,0
"BFA",2e-04,"district-estimate","admin1",0,0,0
"BFA",2e-04,"global-estimate","admin1",0,0,0
"BFA",2e-04,"no-estimate","admin1",0,0,0
"BFA",0.001,"district-estimate","admin1",0,0,0
"BFA",0.001,"global-estimate","admin1",0,0,0
"BFA",0.001,"no-estimate","admin1",0,0,0
"BFA",1e-04,"district-estimate","admin2",0,0,0
"BFA",1e-04,"global-estimate","admin2",0,0,0
"BFA",1e-04,"no-estimate","admin2",0,0,2578898.15485652
"BFA",2e-04,"district-estimate","admin2",0,0,0
"BFA",2e-04,"global-estimate","admin2",0,0,0
"BFA",2e-04,"no-estimate","admin2",0,0,0
"BFA",0.001,"district-estimate","admin2",0,0,0
"BFA",0.001,"global-estimate","admin2",0,0,0
"BFA",0.001,"no-estimate","admin2",0,0,0
"CAF",1e-04,"district-estimate","admin1",0,0,3133939.36019852
"CAF",1e-04,"global-estimate","admin1",0,0,2128228.13644243
"CAF",1e-04,"no-estimate","admin1",0,0,3109424.64384357
"CAF",2e-04,"district-estimate","admin1",0,0,2103293.13483011
"CAF",2e-04,"global-estimate","admin1",0,0,2103293.13483011
"CAF",2e-04,"no-estimate","admin1",0,0,2037465.98386449
"CAF",0.001,"district-estimate","admin1",0,0,0
"CAF",0.001,"global-estimate","admin1",0,0,0
"CAF",0.001,"no-estimate","admin1",0,0,0
"CAF",1e-04,"district-estimate","admin2",185783.029608191,292889.970664587,2082138.901691
"CAF",1e-04,"global-estimate","admin2",185783.029608191,292889.970664587,2068063.8304845
"CAF",1e-04,"no-estimate","admin2",292889.970664587,292889.970664587,2511821.34650261
"CAF",2e-04,"district-estimate","admin2",0,197357.30031648,1486296.06418351
"CAF",2e-04,"global-estimate","admin2",0,185783.029608191,1434248.53357279
"CAF",2e-04,"no-estimate","admin2",290212.297138177,292889.970664587,2082138.901691
"CAF",0.001,"district-estimate","admin2",0,0,194929.538754318
"CAF",0.001,"global-estimate","admin2",0,0,85435.7589977718
"CAF",0.001,"no-estimate","admin2",0,0,197357.30031648
"CIV",1e-04,"district-estimate","admin1",0,2727979.63744171,4271616.72496289
"CIV",1e-04,"global-estimate","admin1",0,2727979.63744171,2910775.51583192
"CIV",1e-04,"no-estimate","admin1",4200410.86235764,7910500.87969388,11423543.0122723
"CIV",2e-04,"district-estimate","admin1",0,0,2910775.51583192
"CIV",2e-04,"global-estimate","admin1",0,0,0
"CIV",2e-04,"no-estimate","admin1",0,2727979.63744171,2873053.9595855
"CIV",0.001,"district-estimate","admin1",0,0,0
"CIV",0.001,"global-estimate","admin1",0,0,0
"CIV",0.001,"no-estimate","admin1",0,0,0
"CIV",1e-04,"district-estimate","admin2",0,3706918.3775268,6828364.7351659
"CIV",1e-04,"global-estimate","admin2",0,2873053.9595855,6828364.7351659
"CIV",1e-04,"no-estimate","admin2",7227778.14912696,10127366.2242798,15005437.5490685
"CIV",2e-04,"district-estimate","admin2",0,0,2910775.51583192
"CIV",2e-04,"global-estimate","admin2",0,0,2910775.51583192
"CIV",2e-04,"no-estimate","admin2",0,2873053.9595855,6777106.87693262
"CIV",0.001,"district-estimate","admin2",0,0,0
"CIV",0.001,"global-estimate","admin2",0,0,0
"CIV",0.001,"no-estimate","admin2",0,0,0
"CMR",1e-04,"district-estimate","admin1",122316840.171971,156142467.46977,192770077.173368
"CMR",1e-04,"global-estimate","admin1",95121593.5160982,138601789.471508,186710482.641319
"CMR",1e-04,"no-estimate","admin1",180185624.770644,210062467.025372,231582634.502997
"CMR",2e-04,"district-estimate","admin1",72191605.9765982,88267313.511593,118566600.030977
"CMR",2e-04,"global-estimate","admin1",36698169.3569625,73704799.7399518,95315400.8522833
"CMR",2e-04,"no-estimate","admin1",136948007.67504,155280735.408464,197642804.802322
"CMR",0.001,"district-estimate","admin1",0,0,21120506.7014711
"CMR",0.001,"global-estimate","admin1",0,0,0
"CMR",0.001,"no-estimate","admin1",5852714.48084879,25825929.6607227,33020576.0240226
"CMR",1e-04,"district-estimate","admin2",92227454.4331696,120131966.489044,141167842.303542
"CMR",1e-04,"global-estimate","admin2",76561685.7232009,106040679.96541,126245295.845736
"CMR",1e-04,"no-estimate","admin2",159846534.430111,167805558.003315,173566962.199037
"CMR",2e-04,"district-estimate","admin2",56368340.0878305,66918794.030138,81464802.4600889
"CMR",2e-04,"global-estimate","admin2",26818120.9170408,51101977.4353474,70989916.5302544
"CMR",2e-04,"no-estimate","admin2",112917308.895033,122976736.069101,130613453.791357
"CMR",0.001,"district-estimate","admin2",0,13063700.9094493,22081460.116673
"CMR",0.001,"global-estimate","admin2",0,5015105.80557584,20178416.9340974
"CMR",0.001,"no-estimate","admin2",20878243.0225421,31339052.664796,40006160.239736
"COD",1e-04,"district-estimate","admin1",358871052.923875,403245646.290811,451672809.201251
"COD",1e-04,"global-estimate","admin1",327691078.135138,387253424.785859,411784978.182911
"COD",1e-04,"no-estimate","admin1",455240011.206128,482626282.749624,501024834.288396
"COD",2e-04,"district-estimate","admin1",197754574.671056,262199635.15552,325652016.832915
"COD",2e-04,"global-estimate","admin1",85193120.5533724,185207762.430758,258016145.205472
"COD",2e-04,"no-estimate","admin1",386731417.520155,393548499.717343,432289905.833606
"COD",0.001,"district-estimate","admin1",0,0,31909596.8788668
"COD",0.001,"global-estimate","admin1",0,0,14312201.357559
"COD",0.001,"no-estimate","admin1",32914033.3292343,53635725.2172987,84790742.8111047
"COD",1e-04,"district-estimate","admin2",199953115.414067,219714998.722758,244746720.743711
"COD",1e-04,"global-estimate","admin2",165419528.560527,194354975.955177,223406320.926857
"COD",1e-04,"no-estimate","admin2",266575630.313035,290133619.089122,310509480.791672
"COD",2e-04,"district-estimate","admin2",121584034.929271,140265939.869023,157274195.821213
"COD",2e-04,"global-estimate","admin2",72166041.793162,106615376.392513,137969982.079093
"COD",2e-04,"no-estimate","admin2",208352159.563384,225018534.228279,244037463.169142
"COD",0.001,"district-estimate","admin2",18119957.8451828,29823497.9289549,43455920.0921443
"COD",0.001,"global-estimate","admin2",12491706.9982952,24301635.3890722,34639966.759888
"COD",0.001,"no-estimate","admin2",53006383.4480157,58013216.3490381,75972207.6636607
"COG",1e-04,"district-estimate","admin1",14540828.2700653,20196847.048914,22374775.6585429
"COG",1e-04,"global-estimate","admin1",14540828.2700653,20189861.4041037,20473058.1399145
"COG",1e-04,"no-estimate","admin1",22141348.1941999,22141348.1941999,22141348.1941999
"COG",2e-04,"district-estimate","admin1",3754037.78927328,14601302.4199641,20381831.1380838
"COG",2e-04,"global-estimate","admin1",0,11341550.7268739,18388951.879076
"COG",2e-04,"no-estimate","admin1",14540828.2700653,20189861.4041037,20466072.4951042
"COG",0.001,"district-estimate","admin1",0,0,4945426.06393857
"COG",0.001,"global-estimate","admin1",0,0,0
"COG",0.001,"no-estimate","admin1",0,0,10199374.3261186
"COG",1e-04,"district-estimate","admin2",8268320.4809312,13307835.3948022,20989775.8467964
"COG",1e-04,"global-estimate","admin2",9380771.78381888,11270421.3427313,20989950.4879165
"COG",1e-04,"no-estimate","admin2",13307835.3948022,13625078.0139865,20915781.131585
"COG",2e-04,"district-estimate","admin2",3114512.45409957,9380771.78381888,19379922.0102865
"COG",2e-04,"global-estimate","admin2",2295664.9816971,6840974.18875584,16866302.8920774
"COG",2e-04,"no-estimate","admin2",11219011.141127,13396027.4451298,20959444.3667777
"COG",0.001,"district-estimate","admin2",0,1473887.9770972,4689058.64874686
"COG",0.001,"global-estimate","admin2",0,1473887.9770972,2315581.83902566
"COG",0.001,"no-estimate","admin2",1473887.9770972,2295664.9816971,9298741.27057206
"ETH",1e-04,"district-estimate","admin1",0,44105231.9037975,69468328.4194116
"ETH",1e-04,"global-estimate","admin1",0,44105231.9037975,46865195.4401458
