"ISO","threshold","confirmation_lens","admin_level","ocv_costeff_lb","ocv_costeff_median","ocv_costeff_ub"
"AGO",1e-04,"district-estimate","admin1",1573.40293117063,3539.17561216814,6658.75010216995
"AGO",1e-04,"global-estimate","admin1",1656.32241565865,3330.97561553259,5430.75507054118
"AGO",1e-04,"no-estimate","admin1",2068.64045756849,4643.17116333693,8691.30707883193
"AGO",2e-04,"district-estimate","admin1",1305.9202998066,2485.22998709828,4818.60462942938
"AGO",2e-04,"global-estimate","admin1",576.760664490076,1501.32059705147,12885.3071235424
"AGO",2e-04,"no-estimate","admin1",1749.87853356226,3587.56059349349,6188.16084414234
"AGO",0.001,"district-estimate","admin1",1149.13465885417,1265.07256481154,1335.38985959418
"AGO",0.001,"global-estimate","admin1",NA,NA,NA
"AGO",0.001,"no-estimate","admin1",1211.9925740659,1847.05978825402,3525.71540619838
"AGO",1e-04,"district-estimate","admin2",1364.82374723474,1960.4213282363,4157.89843655417
"AGO",1e-04,"global-estimate","admin2",1346.01815700436,1911.71876294655,3776.16903959051
"AGO",1e-04,"no-estimate","admin2",1755.21776824576,2472.11479020866,5061.13887100475
"AGO",2e-04,"district-estimate","admin2",969.657631218805,1540.05558781017,2972.3991944891
"AGO",2e-04,"global-estimate","admin2",402.535296332635,1029.59380936286,3355.23592908966
"AGO",2e-04,"no-estimate","admin2",1348.8230998381,1977.58106578264,4288.40924310433
"AGO",0.001,"district-estimate","admin2",356.796094927521,657.122372154883,1167.34349177962
"AGO",0.001,"global-estimate","admin2",360.987948285408,641.041602753272,1317.19435104535
"AGO",0.001,"no-estimate","admin2",573.330548075241,1132.74311223313,1868.09932847877
"BDI",1e-04,"district-estimate","admin1",6049.01772653745,9558.58409623976,12778.2518391081
"BDI",1e-04,"global-estimate","admin1",6217.61842344616,8980.00100763197,16237.767584156
"BDI",1e-04,"no-estimate","admin1",10491.9300613224,12945.4780160392,16926.8977410741
"BDI",2e-04,"district-estimate","admin1",5396.00848498652,6270.23353721126,6470.54175089243
