"ISO","confirmation_lens","admin_level","threshold","costeff_ocv_test_lb","costeff_ocv_test_median","costeff_ocv_test_ub"
"AGO","district-estimate","admin1",1e-04,1584.29458670972,3553.59802484388,6681.30486578897
"AGO","district-estimate","admin1",2e-04,1317.27115323426,2517.25006625107,4879.01423491195
"AGO","district-estimate","admin1",0.001,1390.76786988572,216359.172598732,242830.630772101
"AGO","district-estimate","admin2",1e-04,1373.48966453071,1971.28245843864,4169.79752818349
"AGO","district-estimate","admin2",2e-04,983.674377005759,1551.80831345316,2995.14607351242
"AGO","district-estimate","admin2",0.001,462.54645914312,750.190450360824,1471.56762184668
"AGO","global-estimate","admin1",1e-04,1675.22141914702,3351.67582766825,5466.89448815121
"AGO","global-estimate","admin1",2e-04,290.387313035451,1508.36101428782,7708506.04823381
"AGO","global-estimate","admin1",0.001,159722.838212858,212810.742026805,237427.140392772
"AGO","global-estimate","admin2",1e-04,1354.79466656419,1922.71714798507,3792.95262109565
"AGO","global-estimate","admin2",2e-04,415.119203053346,1043.53387989431,5720.02101612862
"AGO","global-estimate","admin2",0.001,507.318436953712,763.905157577033,190500.781942552
"AGO","no-estimate","admin1",1e-04,2068.64089783451,4643.17144248463,8691.3071111968
"AGO","no-estimate","admin1",2e-04,1749.88945621226,3587.89016724323,6188.16717895632
"AGO","no-estimate","admin1",0.001,0,1537.170873677,3467.92653743175
"AGO","no-estimate","admin2",1e-04,1755.22426844951,2472.1150612909,5061.15560158137
"AGO","no-estimate","admin2",2e-04,1348.82321737354,1977.58324928409,4288.5054206412
"AGO","no-estimate","admin2",0.001,573.331841337801,1132.74354365194,1868.23780468981
"BDI","district-estimate","admin1",1e-04,6129.8605754774,9674.12988618046,51931.2007194971
"BDI","district-estimate","admin1",2e-04,6304.33049774383,51976.7710711758,55666.2383345971
"BDI","district-estimate","admin1",0.001,49324.9868358168,52175.1856805079,55666.2383345971
"BDI","district-estimate","admin2",1e-04,3275.61900271335,4073.72936913847,5370.9991667
"BDI","district-estimate","admin2",2e-04,2679.986785174,3495.20823848101,4536.23318313726
"BDI","district-estimate","admin2",0.001,46409.8515505943,48678.5211794275,51192.8202802576
"BDI","global-estimate","admin1",1e-04,6293.04389321738,9279.52909592223,50581.6122729173
"BDI","global-estimate","admin1",2e-04,21.45810712093,181.031107590274,53576.3798062334
"BDI","global-estimate","admin1",0.001,48189.9769580079,50974.5903043548,54385.3108691619
"BDI","global-estimate","admin2",1e-04,3186.46956281668,4052.21717370176,5525.13277774937
"BDI","global-estimate","admin2",2e-04,317.745038545053,2140.29600088805,4244117.48629064
"BDI","global-estimate","admin2",0.001,45341.921413828,47558.3870259266,50014.8299670641
