"ISO","confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub"
"AGO","district-estimate","admin1",1e-04,6,8,12,2,3,6
"AGO","district-estimate","admin1",2e-04,2,5,8,1,2,3
"AGO","district-estimate","admin1",0.001,1,1,2,1,1,1
"AGO","district-estimate","admin2",1e-04,23,28,39,9,11,16
"AGO","district-estimate","admin2",2e-04,15,20,26,6,8,11
"AGO","district-estimate","admin2",0.001,2,4,7,1,2,4
"AGO","global-estimate","admin1",1e-04,5,7,10,2,3,4
"AGO","global-estimate","admin1",2e-04,1,3,5,1,1,3
"AGO","global-estimate","admin2",1e-04,21,26,35,8,10,14
"AGO","global-estimate","admin2",2e-04,9,16,22,4,6,9
"AGO","global-estimate","admin2",0.001,1,3,6,1,2,3
"AGO","no-estimate","admin1",1e-04,8,13,18,3,5,7
"AGO","no-estimate","admin1",2e-04,6,8,12,2,4,5
"AGO","no-estimate","admin1",0.001,1,2,2,1,1,1
"AGO","no-estimate","admin2",1e-04,29,39,52,10,15,20
"AGO","no-estimate","admin2",2e-04,24,28,37,9,11,15
"AGO","no-estimate","admin2",0.001,7,11,15,3,5,7
"BDI","district-estimate","admin1",1e-04,1,3,6,1,2,4
"BDI","district-estimate","admin1",2e-04,1,1,2,1,1,1
"BDI","district-estimate","admin2",1e-04,19,23,26,6,8,9
"BDI","district-estimate","admin2",2e-04,7,11,15,4,5,7
"BDI","global-estimate","admin1",1e-04,1,2,3,1,1,2
"BDI","global-estimate","admin1",2e-04,1,1,2,1,1,1
"BDI","global-estimate","admin2",1e-04,16,19,22,6,7,8
"BDI","global-estimate","admin2",2e-04,2,7,11,1,4,5
"BDI","no-estimate","admin1",1e-04,11,12,14,5,6,6
"BDI","no-estimate","admin1",2e-04,2,3,4,1,2,2
"BDI","no-estimate","admin2",1e-04,30,34,38,10,11,13
"BDI","no-estimate","admin2",2e-04,19,21,24,7,7,9
"BDI","no-estimate","admin2",0.001,1,1,3,1,1,1
"BEN","district-estimate","admin1",1e-04,1,1,1,1,1,1
"BEN","district-estimate","admin2",1e-04,3,7,10,2,3,5
"BEN","district-estimate","admin2",2e-04,1,3,5,1,1,2
"BEN","global-estimate","admin2",1e-04,2,5,8,1,3,4
"BEN","global-estimate","admin2",2e-04,1,2,4,1,1,2
"BEN","no-estimate","admin1",1e-04,1,2,5,1,2,4
"BEN","no-estimate","admin2",1e-04,14,17,21,6,8,9
"BEN","no-estimate","admin2",2e-04,5,7,9,3,3,4
"BEN","no-estimate","admin2",0.001,1,1,2,1,1,1
"BFA","district-estimate","admin2",1e-04,1,2,2,1,1,1
"BFA","no-estimate","admin2",1e-04,1,2,2,1,1,1
"CAF","district-estimate","admin1",1e-04,1,2,3,1,1,1
"CAF","district-estimate","admin1",2e-04,1,2,2,1,1,1
"CAF","district-estimate","admin2",1e-04,2,3,6,1,1,2
"CAF","district-estimate","admin2",2e-04,1,2,5,1,1,2
"CAF","district-estimate","admin2",0.001,1,1,2,1,1,1
"CAF","global-estimate","admin1",1e-04,1,2,3,1,1,1
"CAF","global-estimate","admin1",2e-04,1,2,3,1,1,1
"CAF","global-estimate","admin2",1e-04,2,3,6,1,1,2
"CAF","global-estimate","admin2",2e-04,1,2,5,1,1,2
"CAF","global-estimate","admin2",0.001,1,1,2,1,1,1
"CAF","no-estimate","admin1",1e-04,2,2,3,1,1,1
"CAF","no-estimate","admin1",2e-04,1,2,3,1,1,1
"CAF","no-estimate","admin2",1e-04,3,3,6,1,1,2
