"confirmation_lens","threshold","admin_level","prop_vaxed_in_highIR_lb","prop_vaxed_in_highIR_median","prop_vaxed_in_highIR_ub"
"district-estimate",1e-04,"admin1",0.963321391632966,0.985078874332205,0.999423080793885
"district-estimate",1e-04,"admin2",0.973625349530956,0.986804217072179,0.994611045452494
"district-estimate",2e-04,"admin1",0.946158935568589,0.988633436754672,1
"district-estimate",2e-04,"admin2",0.954623812971148,0.980743469453822,0.992917378640728
"district-estimate",0.001,"admin1",0.796614927623503,0.999999999999999,1
"district-estimate",0.001,"admin2",0.927769002098866,0.977801694332936,1
"global-estimate",1e-04,"admin1",0.949282087485608,0.983209475103023,0.997564383536031
"global-estimate",1e-04,"admin2",0.929740564620492,0.9625256498072,0.979088033929035
"global-estimate",2e-04,"admin1",0.763502514252477,0.888751649690383,0.96775043767736
"global-estimate",2e-04,"admin2",0.916585054139964,0.955057508742875,0.976433271430498
"global-estimate",0.001,"admin1",0.736588701993132,0.999999999999997,1
"global-estimate",0.001,"admin2",0.829925939891261,0.942514602730329,0.990497827707811
"no-estimate",1e-04,"admin1",0.529395273062292,0.573201235280846,0.621074659719534
"no-estimate",1e-04,"admin2",0.633863132859928,0.671391429199397,0.712337844036316
"no-estimate",2e-04,"admin1",0.444876610820974,0.506092805072976,0.576966914012503
"no-estimate",2e-04,"admin2",0.529468793971579,0.569282352904353,0.626142153871488
"no-estimate",0.001,"admin1",0.115014950504479,0.213805098942,0.358593867158805
"no-estimate",0.001,"admin2",0.35176872301556,0.430963073518543,0.517642295016077
