"confirmation_lens","threshold","admin_level","py_vaxed_lb","py_vaxed_median","py_vaxed_ub","prop_py_vaxed_lb","prop_py_vaxed_median","prop_py_vaxed_ub"
"district-estimate",1e-04,"admin1",332806072.696356,363119088.788038,402214348.173082,0.144169506198433,0.155368114625692,0.165290376958909
"district-estimate",1e-04,"admin2",256874721.698767,271134109.501366,282041813.35628,0.151093362124752,0.156555043095722,0.161253088152795
"district-estimate",2e-04,"admin1",173084998.651542,195307640.166813,220030050.444798,0.13892790314036,0.153260197043963,0.170102017714172
"district-estimate",2e-04,"admin2",150721996.34147,161741085.261424,174628279.614039,0.146128452594475,0.153085342337948,0.159417557657087
"district-estimate",0.001,"admin1",8396914.17040195,14612085.122703,28310479.1845801,0.102743731826156,0.145193307087131,0.195083743326117
"district-estimate",0.001,"admin2",23570293.4502003,29484323.6940542,36613030.739175,0.130139404767512,0.147296895693104,0.164413855982479
"global-estimate",1e-04,"admin1",281157464.212927,307164566.409231,330663517.560471,0.0985804070112546,0.113162844661321,0.130044992631749
"global-estimate",1e-04,"admin2",215255483.025409,230375271.239507,245694424.13687,0.106883848362816,0.117675041042175,0.127702753925821
"global-estimate",2e-04,"admin1",106839551.272206,131559830.723426,158005781.286551,0.0757749472051118,0.0984954432348054,0.123063865764697
"global-estimate",2e-04,"admin2",100388550.352713,116217546.356908,134486197.723586,0.0885523436269728,0.102430258402897,0.117266716481248
"global-estimate",0.001,"admin1",5203790.79593093,9388616.50310946,14262105.3484525,0.0570023947659388,0.103614267224707,0.163450783376647
"global-estimate",0.001,"admin2",16813838.5486835,21085080.5500374,27832457.5471224,0.069609849902406,0.0888134204681278,0.112379726991352
"no-estimate",1e-04,"admin1",321230136.106546,349435722.105242,382718418.475248,0.164280398366396,0.173763823112423,0.184079776626426
"no-estimate",1e-04,"admin2",249089319.485098,263668519.86286,276956900.037203,0.16618142305382,0.171378094398399,0.175701531562599
"no-estimate",2e-04,"admin1",162485876.77223,183808817.871943,206652245.853717,0.156690956191974,0.172729680023214,0.186677860685654
"no-estimate",2e-04,"admin2",144493597.487747,156289779.076776,174542624.58653,0.166402271979191,0.173685132147659,0.182148946170199
"no-estimate",0.001,"admin1",7810937.50386573,13387989.6975945,21723151.5404742,0.118924529469804,0.169114692054003,0.221869208143356
"no-estimate",0.001,"admin2",22276242.9254361,27937314.225968,35024967.0194799,0.1550931282991,0.17164975891039,0.189060822099246
