"confirmation_lens","admin_level","threshold","py_vaxed_lb","py_vaxed_median","py_vaxed_ub","prop_py_vaxed_lb","prop_py_vaxed_median","prop_py_vaxed_ub","ISO"
"district-estimate","admin1",1e-04,3681049.28080289,6283148.62857301,11546853.4068632,0.11011686419543,0.156483257022822,0.213514836807228,"AGO"
"district-estimate","admin1",2e-04,1580199.0226515,3251640.43943233,7189823.19254963,0.0766316356333997,0.163330531981747,0.230951776366241,"AGO"
"district-estimate","admin1",0.001,467736.856132403,770749.523281306,1562030.02583125,0.0639475837142728,0.0639475837142728,0.277855577902206,"AGO"
"district-estimate","admin2",1e-04,3264925.47018882,5127125.51018255,7483605.46510967,0.1230429377745,0.155991937523823,0.182140651704704,"AGO"
"district-estimate","admin2",2e-04,1805376.93143883,3269401.47341559,4984110.15168574,0.105367816341999,0.160120641264203,0.210715308323097,"AGO"
"district-estimate","admin2",0.001,69696.9025278708,435019.227554574,1038170.67053376,0.0639547996635993,0.141104621329515,0.216794785669971,"AGO"
"global-estimate","admin1",1e-04,2806495.45658688,5321869.64542915,8953207.33967115,0.0427573426322337,0.12342785755589,0.176234395076826,"AGO"
"global-estimate","admin1",2e-04,770749.523281306,2415499.69618785,3331833.44574866,0.0179157029333125,0.0932519199466489,0.195685939063536,"AGO"
"global-estimate","admin2",1e-04,2971483.14297466,4387932.4195041,6038390.84645132,0.0701760987434065,0.129931796950767,0.170240779430079,"AGO"
"global-estimate","admin2",2e-04,880078.613160007,2213081.34781218,3785768.37816305,0.037479877688206,0.120487043938954,0.168689903965008,"AGO"
"global-estimate","admin2",0.001,64284.8362496483,226964.856570742,771350.612074661,0.0181398042251315,0.0928531595802425,0.194414603001675,"AGO"
"no-estimate","admin1",1e-04,3663674.11902669,6253897.78358811,11362088.8059266,0.13040074019439,0.173618913690632,0.205719085367388,"AGO"
"no-estimate","admin1",2e-04,1137650.44810717,3251640.43943233,5962132.45733676,0.100700899791979,0.175709013041143,0.238214006395086,"AGO"
"no-estimate","admin1",0.001,500261.696467361,770749.523281306,770749.523281306,0.0868997025456195,0.10051112508142,0.588346109266172,"AGO"
"no-estimate","admin2",1e-04,3130629.43163753,5059780.70979999,7599759.2936264,0.142233497212683,0.170869712219037,0.195549321268843,"AGO"
"no-estimate","admin2",2e-04,1760795.72172272,3061370.9786014,5339903.89383191,0.110250698206157,0.172535538479829,0.219987717901154,"AGO"
"no-estimate","admin2",0.001,69696.9025278708,377704.220373777,1065208.76344052,0.0870469455727877,0.189634719002476,0.341985059572848,"AGO"
"district-estimate","admin1",1e-04,404615.594261826,1267938.29834052,2928238.20857173,0.0653168936646149,0.137535423660455,0.370129179734614,"BDI"
"district-estimate","admin1",2e-04,409904.795723052,409904.795723052,912047.060721397,0.065531291815628,0.488117098126262,0.65637658140618,"BDI"
"district-estimate","admin2",1e-04,1601464.15735572,2013172.76233729,2300841.34834635,0.133521488287946,0.162959195597044,0.190252441266858,"BDI"
"district-estimate","admin2",2e-04,523966.158452455,973298.069807839,1462728.34432062,0.09075985218366,0.139474140696179,0.206534127269393,"BDI"
"global-estimate","admin1",1e-04,409904.795723052,898525.25931547,1520775.87871301,0.0138531208707971,0.0528099343077724,0.224727834038393,"BDI"
"global-estimate","admin2",1e-04,1227207.36845191,1801231.79451536,2026423.31876039,0.0996484197433927,0.130242120105945,0.163734233290786,"BDI"
"global-estimate","admin2",2e-04,118013.061436801,596804.622523995,1128435.58815592,0.0182797584353876,0.07358260718788,0.155380975374274,"BDI"
"no-estimate","admin1",1e-04,313000.228891787,1211525.48820726,2649829.0242539,0.0940638335688338,0.170871285934177,0.65637658140618,"BDI"
"no-estimate","admin1",2e-04,409904.795723052,409904.795723052,898525.25931547,0.103315316243482,0.65637658140618,0.657438044244827,"BDI"
"no-estimate","admin2",1e-04,1385794.32160156,1884167.95453486,2302141.65164214,0.155015413573906,0.179718411064197,0.197647586285074,"BDI"
"no-estimate","admin2",2e-04,447288.460725416,842248.171364379,1286152.76705416,0.101115510574628,0.166051334926417,0.225348687038057,"BDI"
"district-estimate","admin1",1e-04,671965.501033202,671965.501033202,671965.501033202,0.0670872230873964,0.0670872230873964,0.0670872230873964,"BEN"
"district-estimate","admin2",1e-04,200528.32456277,494184.908861639,1033612.56113826,0.0904224438300392,0.155531267103487,0.2314568090621,"BEN"
"district-estimate","admin2",2e-04,74990.9857365592,239509.187001915,425132.82520188,0.0671366844316037,0.181500580623265,0.321413354215857,"BEN"
"global-estimate","admin2",1e-04,151643.532446058,390525.793457635,612475.316565512,0.0259685141396334,0.0943186697523547,0.172127652488571,"BEN"
"global-estimate","admin2",2e-04,74990.9857365592,162641.157651171,325013.076831905,0.026794301505543,0.103828902657264,0.291688088779759,"BEN"
"no-estimate","admin1",1e-04,1458010.01127223,1458010.01127223,1458010.01127223,0.65855523606411,0.65855523606411,0.65855523606411,"BEN"
"no-estimate","admin2",1e-04,191325.652659158,503502.568893669,962178.608344007,0.120176899502898,0.192978868869814,0.269268537181269,"BEN"
"no-estimate","admin2",2e-04,74990.9857365592,239509.187001915,323252.592343678,0.0762094588837631,0.186052011125771,0.236463188390025,"BEN"
"district-estimate","admin2",1e-04,174272.280812566,352192.331131321,524714.335966629,0.0760190333440699,0.199955157202295,0.311184275708638,"BFA"
"no-estimate","admin2",1e-04,160054.000429666,160054.000429666,240295.633427728,0.0748747959491116,0.0809445303941067,0.102734958193943,"BFA"
