"threshold","confirmation_lens","admin_level","tp_cumu_lb","tp_cumu_median","tp_cumu_ub","efficiency_lb","efficiency_median","efficiency_ub","ac_lb","ac_median","ac_ub"
1e-04,"district-estimate","admin1",340906176.307468,368811053.73973,409219695.825898,1.51975377299172,1.68764593247004,1.84783058577975,556584.651263429,627173.997549339,700847.09531749
1e-04,"district-estimate","admin2",261070387.672395,274642889.808975,285824037.687493,2.35241340138098,2.59506269679405,2.87289963601152,640614.768409895,707056.825148582,796862.671999987
1e-04,"global-estimate","admin1",289374939.259383,312172907.754689,335461271.650714,1.72219298197251,1.88918473581605,2.05338080224235,524859.424791931,591068.781712925,670233.558895815
1e-04,"global-estimate","admin2",224320385.866951,240242637.501505,254891565.554332,2.6279705504393,2.83901608341385,3.09955806828877,607722.881270746,679773.374568566,773308.419354504
1e-04,"no-estimate","admin1",567991400.74175,616482393.360753,650594836.814934,1.07769921327543,1.17653604894677,1.27770177128104,652451.942926731,718453.777487325,794322.692449135
1e-04,"no-estimate","admin2",378819445.475703,391781829.567623,412176353.43636,1.74355941958157,1.92522415421037,2.192376793587,691190.982294743,757100.732994711,841903.644118881
2e-04,"district-estimate","admin1",175585593.451057,198801046.446069,223508449.752329,2.21406876181992,2.50283828419711,2.77347061174078,427220.945653614,497278.954502166,571425.46082049
2e-04,"district-estimate","admin2",153866084.133525,165221551.054366,179392295.647491,3.37254409483134,3.74750523062478,4.17712491530708,554684.092845297,618661.298720564,705301.29036757
2e-04,"global-estimate","admin1",124797193.174397,147902306.544981,170755086.217427,2.40712775917137,3.39141416019062,4.37375683601568,333798.982529171,510323.331558421,689218.759840721
2e-04,"global-estimate","admin2",107336961.105572,122401418.946678,142192132.883084,4.05505076091073,5.27604089974084,6.74149528346862,489897.938027832,652775.415616657,818544.465397888
2e-04,"no-estimate","admin1",341421751.155239,360680791.221968,392468973.145177,1.54170606726823,1.71066732688558,1.89186190864938,553480.526558565,617420.501358957,690390.427557687
2e-04,"no-estimate","admin2",264527004.90841,275216242.19817,283897758.082054,2.31186816699965,2.56374315193884,2.84707498351257,639768.273638471,702106.262205252,793379.860633438
0.001,"district-estimate","admin1",8430632.66430268,14941021.9086404,28817782.6354343,5.78308352135693,8.28559517050948,13.7125374512316,81472.1797380449,126101.354790158,194826.248205353
0.001,"district-estimate","admin2",24432774.7439615,30113562.092861,37914357.5992203,9.41325484579223,10.7869177125972,12.5514446562506,261153.957112327,326336.035114111,414562.922740034
0.001,"global-estimate","admin1",6905439.04012621,9737913.91527994,15721303.8171988,6.78126222242218,9.66388190081717,15.3395221176333,58086.7890719071,101477.138468914,148301.150251686
0.001,"global-estimate","admin2",19264664.5526778,22768297.0182786,29529058.6886902,10.3373798252246,12.0367686577346,14.4114912069863,219133.148086884,277534.628212785,353949.059466883
0.001,"no-estimate","admin1",52248717.3388677,64752951.0605509,74370414.3526475,3.46821087274719,4.18379932301447,5.08326883803813,220859.028097114,267621.942184327,308775.086341325
0.001,"no-estimate","admin2",59775622.0760119,65236073.9363675,71049334.2767558,6.04871409056424,6.89227091096544,7.82564860040189,378268.850717204,446445.783640486,525168.133390827
