Country Name,Admin 1 District,Number of Outbreaks
Angola,cabinda,1
Cameroon,farnorth,1
Cameroon,north,2
Congo - Brazzaville,pointenoire,1
Congo - Kinshasa,hautkatanga,1
Congo - Kinshasa,hautlomami,1
Congo - Kinshasa,kongocentral,1
Congo - Kinshasa,lomami,1
Congo - Kinshasa,nordkivu,2
Congo - Kinshasa,sudkivu,2
Congo - Kinshasa,tanganyika,4
Congo - Kinshasa,tshopo,1
Ethiopia,addisababa,1
Ethiopia,afar,1
Ethiopia,amhara,1
Ethiopia,benishangulgumuz,1
Ethiopia,diredawa,2
Ethiopia,harari,1
Ethiopia,tigray,2
Ghana,central,1
Ghana,eastern,2
Ghana,greateraccra,2
Guinea-Bissau,biombo,1
Mozambique,nampula,1
Nigeria,adamawa,1
Nigeria,kaduna,1
Sierra Leone,westernarea,1
Somalia,banaadir,1
Somalia,middleshabelle,1
South Sudan,centralequatoria,3
South Sudan,easternequatoria,1
South Sudan,jonglei,1
South Sudan,jubek,1
South Sudan,lakes,1
South Sudan,northernliech,1
South Sudan,unity,1
South Sudan,uppernile,1
Tanzania,morogoro,1
Tanzania,unguja,1
Uganda,amudat,1
Uganda,kampala,1
Uganda,kasese,1
Uganda,kween,1
Uganda,kyegegwa,1
Uganda,mbale,1
Uganda,moroto,1
Uganda,moyo,1
Uganda,namayingo,1
Uganda,nebbi,1
Zambia,lusaka,1
