"admin-1","admin0","admin1","admin2","outbreak_number","start_weekday","country","spatial_scale","temporal_scale","population","total_suspected_cases","total_deaths","duration","threshold","attack_rate","cfr","area","mean_R0","id","who_region","start_date","end_date","total_confirmed_cases","right_censored","EpiPeriod","location_period_id","threshold.per.week","run_country","duplicated_at_same_spatial_scale","manually_selected","duplicated_at_different_spatial_scale","time_to_peak..weeks.","pop_cat","population_density","rural_urban","country_code","TL","TR"
"afr","ago","cabinda",NA,1,"Sunday","AGO","admin1","weekly",975402.6,61,NA,7,0.100955850539573,0.0625382814698111,NA,7050.124134,1.94,"afr::ago::cabinda_1","AFR",2017-04-16,2017-06-03,NA,"yes","complete",15295,0,"AGO","|afr::ago::cabinda|afr::ago::cabinda","yes",NA,5,"100,000-1,000,000",138.352542658932,"Rural settings","AGO",2017-04-16,2017-06-03
"afr","ben","atlantique","abomeycalavi",1,"Monday","BEN","admin2","weekly",655431.6,16,NA,10,0.0123529351496579,0.0244113968802044,NA,511.019143,2.02,"afr::ben::atlantique::abomeycalavi_1","AFR",2013-09-30,2013-12-08,NA,"no","complete",4754,0,"BEN",NA,"yes",NA,3,"100,000-1,000,000",1282.59696134319,"Urban settings","BEN",2013-09-30,2013-12-08
"afr","ben","atlantique","soava",1,"Monday","BEN","admin2","weekly",571137.2,62,0,6,0.168660040659087,0.108555354750035,0,511.019143,1.58,"afr::ben::atlantique::soava_1","AFR",2011-05-09,2011-06-19,NA,"no","complete",8540,0,"BEN",NA,"yes",NA,3,"100,000-1,000,000",1117.64345391656,"Urban settings","BEN",2011-05-09,2011-06-19
"afr","ben","atlantique","soava",2,"Monday","BEN","admin2","weekly",655431.6,312,NA,32,0.168660040659087,0.476022239163986,NA,511.019143,1.82,"afr::ben::atlantique::soava_2","AFR",2013-08-26,2014-04-06,NA,"no","complete",8540,0,"BEN",NA,"yes",NA,5,"100,000-1,000,000",1282.59696134319,"Urban settings","BEN",2013-08-26,2014-04-06
"afr","ben","collines","savalou",1,"Monday","BEN","admin2","weekly",140346.2,202,2,16,0.27834443326448,1.43929761207745,0.99009900990099,2662.658461,2.06,"afr::ben::collines::savalou_1","AFR",2012-09-24,2013-01-13,NA,"no","complete",5445,0,"BEN",NA,"yes",NA,4,"100,000-1,000,000",52.7090507684906,"Rural settings","BEN",2012-09-24,2013-01-13
"afr","ben","donga","djougou",1,"Monday","BEN","admin2","weekly",258545.8,215,1,11,0.160479721933715,0.831574195334119,0.465116279069767,4201.04414,1.8,"afr::ben::donga::djougou_1","AFR",2012-09-10,2012-11-25,NA,"no","complete",1355,0,"BEN",NA,"yes",NA,5,"100,000-1,000,000",61.5432238710065,"Rural settings","BEN",2012-09-10,2012-11-25
"afr","ben","oueme","aguegues",1,"Monday","BEN","admin2","weekly",38940.6,48,0,6,0.515226825629726,1.23264523681625,0,146.2136566,1.87,"afr::ben::oueme::aguegues_1","AFR",2010-01-11,2010-02-21,NA,"no","complete",2959,0,"BEN",NA,"yes",NA,3,"10,000-100,000",266.326695505131,"Rural settings","BEN",2010-01-11,2010-02-21
"afr","ben","oueme","bonou",1,"Monday","BEN","admin2","weekly",39799,59,2,6,0.669346484348419,1.48244799825844,3.38983050847458,313.0287628,1.95,"afr::ben::oueme::bonou_1","AFR",2010-01-11,2010-02-21,NA,"no","complete",8311,0,"BEN",NA,"yes",NA,3,"10,000-100,000",127.141671084802,"Rural settings","BEN",2010-01-11,2010-02-21
"afr","civ","abidjan","abidjanville",1,"Monday","CIV","admin2","weekly",4410154,22,0,6,0.0170146413181359,0.00498848793035345,0,622.6197422,1.84,"afr::civ::abidjan::abidjanville_1","AFR",2014-11-10,2014-12-21,NA,"yes","complete",15289,0,"CIV",NA,"yes",NA,3,">1,000,000",7083.22223194676,"Urban settings","CIV",2014-11-10,2014-12-21
"afr","civ","comoe","sudcomoe",1,"Monday","CIV","admin3","weekly",301289.7,197,11,9,0.505332699884969,0.653855767964179,5.58375634517767,4638.31413,1.69,"afr::civ::comoe::sudcomoe::aboisso_1","AFR",2012-05-21,2012-07-22,NA,"no","complete",15284,0,"CIV",NA,"yes",NA,3,"100,000-1,000,000",64.9567259904408,"Rural settings","CIV",2012-05-21,2012-07-22
